OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
SONATE,2019-038Q,2025-01-01T01:51:34.412832,15.52589744,0.0013798,97.7116,12.4352,109.9736,250.3003,0,U,44400,999,30457,0.0012865,0.00079927,0.0,6787.305008429758,CubeSat,5564.898790286845,1.5458052195241236,416.30500842975835,6777.939884979127,6796.67013188039
CANX-5,2014-034D,2024-12-31T20:25:03.880704,14.79451101,0.0012039,98.3764,209.8931,281.3989,78.5868,0,U,40056,999,55657,0.00064282,4.75e-05,0.0,7009.194277812738,CubeSat,5840.007001486803,1.6222241670796675,638.1942778127377,7000.7559088216785,7017.632646803796
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,0.0010117,97.8283,329.74,57.3725,302.8485,0,U,46505,999,23412,0.0011768,0.00027264,0.0,6876.599119771099,CubeSat,5675.077309747015,1.576410363818615,505.59911977109914,6869.642064441627,6883.556175100572
AEROCUBE 8D,2016-067E,2024-12-31T23:18:03.563712,15.13563753,0.0004699,98.1099,187.8853,147.5362,212.6157,0,U,41852,999,44525,0.0010781,0.00019303,0.0,6903.479330665541,CubeSat,5708.3851083723475,1.58566253010343,532.479330665541,6900.235385728061,6906.72327560302
SINOD-D 1,2015-058E,2024-12-31T14:13:55.047936,14.88735088,0.0174513,64.7772,119.1796,243.9381,114.3677,0,U,40968,999,3715,0.0015037,0.00018637,0.0,6980.023611720798,CubeSat,5803.587796002403,1.6121077211117785,609.0236117207978,6858.213125665575,7101.834097776022
PERSEUS-M2,2014-033AD,2024-12-31T21:07:43.113504,14.92491894,0.0011128,97.943,298.763,262.7127,97.2827,0,U,40037,999,57129,0.00058318,5.935e-05,0.0,6968.305576940253,CubeSat,5788.979372639302,1.6080498257331395,597.3055769402526,6960.551246494233,6976.059907386272
AEROCUBE 4.5B,2012-048L,2024-12-31T19:00:57.813120,15.602712,0.0058234,64.6437,295.8758,305.5741,53.9983,0,U,38768,999,29182,0.0021886,0.00199707,0.0,6765.010056159204,CubeSat,5537.501934405611,1.5381949817793363,394.0100561592044,6725.614696598167,6804.405415720242
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat,5759.805799746947,1.599946055485263,573.8746762363844,6936.775563388957,6952.9737890838105
ROBUSTA-3A (MEDITERRANEE),2024-128J,2024-12-30T18:05:23.034048,15.00669781,0.0031607,61.991,279.6135,9.7768,350.393,0,U,60243,999,2605,0.0016749,0.00021396,0.0,6942.966714016182,CubeSat,5757.432379587153,1.5992867721075426,571.9667140161819,6921.02207912319,6964.911348909173
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,0.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,0.0011367,0.00012228,0.0,6964.503153209536,CubeSat,5784.241675111176,1.6067337986419934,593.5031532095363,6933.045188916803,6995.961117502269
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,0.0010117,97.8283,329.74,57.3725,302.8485,0,U,46505,999,23412,0.0011768,0.00027264,0.0,6876.599119771099,CubeSat,5675.077309747015,1.576410363818615,505.59911977109914,6869.642064441627,6883.556175100572
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.8868005,0.004603,97.6762,173.431,351.4054,8.637,0,U,40045,999,56715,0.001639,0.00015572,0.0,6980.195649660228,CubeSat,5803.8023604852915,1.6121673223570254,609.1956496602279,6948.065809084842,7012.325490235613
SPACEBEE-6,2018-099BN,2025-01-01T04:25:06.614112,15.86497495,0.0007754,97.4973,82.2169,297.5781,62.4701,0,U,43818,999,33340,0.0042928,0.01206572,0.0,6690.248472028588,CubeSat,5445.961821829011,1.5127671727302807,319.24847202858837,6685.060853363378,6695.436090693799
