OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,DEBRIS_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
FENGYUN 1C DEB,1999-025AFC,2024-12-31T17:10:43.513824,13.77126622,0.0185793,99.1365,103.2605,95.2905,266.9475,0,U,30441,999,90106,0.0013388,1.464e-05,0.0,7352.232946476438,FENGYUN 1C,6273.936361530425,1.7427601004251179,981.232946476438,7215.633604893968,7488.8322880589085
FENGYUN 1C DEB,1999-025AFD,2024-12-28T17:00:13.982688,14.23768061,0.0060524,98.8744,86.8994,219.7288,139.9449,0,U,30442,999,92186,0.005645,0.00013127,0.0,7190.774623652772,FENGYUN 1C,6068.40750601538,1.685668751670939,819.7746236527719,7147.253179320576,7234.2960679849675
FENGYUN 1C DEB,1999-025AFE,2024-12-31T13:26:03.931872,14.30617784,0.0028298,98.8339,300.1187,276.4739,83.3221,0,U,30443,999,92472,0.0067266,0.00017639,0.0,7167.803567062253,FENGYUN 1C,6039.352288799286,1.6775978579998017,796.803567062253,7147.520116528181,7188.0870175963255
FENGYUN 1C DEB,1999-025AFF,2024-12-31T15:03:39.824064,14.69091349,0.0116507,99.2527,338.1812,200.3823,212.3967,0,U,30444,999,92538,0.0091562,0.00060084,0.0,7042.107338026195,FENGYUN 1C,5881.18961702317,1.6336637825064362,671.1073380261951,6960.0618580630535,7124.152817989336
FENGYUN 1C DEB,1999-025AFG,2024-12-30T18:09:37.705824,14.46249085,0.0109588,98.8019,296.4885,341.0084,18.7034,0,U,30445,999,94164,0.0027402,0.00010534,0.0,7116.062872154372,FENGYUN 1C,5974.077963338771,1.6594661009274363,745.0628721543717,7038.079362351006,7194.046381957737
FENGYUN 1C DEB,1999-025AFH,2024-12-31T21:46:25.111776,14.39222907,0.0037627,98.6333,79.8876,52.9242,307.5376,0,U,30446,999,93192,0.0049983,0.00015615,0.0,7139.204124518396,FENGYUN 1C,6003.242962695118,1.6675674896375328,768.2041245183964,7112.341441159071,7166.066807877722
FENGYUN 1C DEB,1999-025AFJ,2024-12-31T21:07:18.779808,14.47314864,0.0070739,98.9957,198.1042,353.6561,120.0997,0,U,30447,999,93075,0.0079114,0.00029961,0.0,7112.56900836903,FENGYUN 1C,5969.678750012037,1.6582440972255659,741.5690083690297,7062.255406460728,7162.882610277331
FENGYUN 1C DEB,1999-025AFK,2024-12-30T18:07:53.154048,14.30064477,0.0019149,98.8428,84.6296,305.5629,175.4884,0,U,30448,999,92369,0.0055513,0.0001435,0.0,7169.652313627385,FENGYUN 1C,6041.688977774226,1.6782469382706184,798.6523136273854,7155.92314641202,7183.3814808427505
FENGYUN 1C DEB,1999-025AFM,2024-12-31T19:53:36.998880,14.57756505,0.0200105,98.0987,22.979,210.9312,324.1085,0,U,30450,999,94495,0.0018437,0.00011066,0.0,7078.564319036015,FENGYUN 1C,5926.919042077856,1.6463664005771823,707.5643190360151,6936.918707729945,7220.209930342085
FENGYUN 1C DEB,1999-025AFP,2024-12-31T17:43:22.601856,14.4941664,0.0063036,99.3136,98.846,211.8276,301.5619,0,U,30452,999,93068,0.010018,0.00039477,0.0,7105.691463454808,FENGYUN 1C,5961.022213873135,1.6558395038536486,734.6914634548084,7060.900026745775,7150.482900163843
