OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
XIWANG-1 (HOPE-1),2009-072B,2024-12-31T20:46:39.957600,13.16416358,.0007705,100.3261,320.1882,15.3069,344.8276,0,U,36122,999,72296,.3523E-4,-.3E-6,0
O/OREOS (USA 219),2010-062C,2025-01-01T01:24:26.946144,14.89855313,.0015191,71.9700,202.5124,351.7870,8.3047,0,U,37224,999,3727,.75516E-3,.7224E-4,0
JUGNU,2011-058B,2024-12-31T22:31:00.875712,14.13469675,.0018489,19.9619,301.3644,319.3417,104.0665,0,U,37839,999,68362,.4018E-3,.1034E-4,0
SRMSAT,2011-058D,2024-12-31T20:02:40.886880,14.11325593,.0011969,19.9731,41.1558,107.4573,50.1205,0,U,37841,999,68251,.33488E-3,.879E-5,0
STRAND-1,2013-009E,2024-12-31T23:33:35.608896,14.36553485,.0009299,98.3766,189.8964,27.9918,332.1767,0,U,39090,999,62065,.48346E-3,.1379E-4,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,.11367E-2,.12228E-3,0
GOMX-1,2013-066Q,2024-12-31T21:22:29.594784,14.66335730,.0135178,97.7023,229.2567,343.6800,16.0072,0,U,39430,999,59181,.12907E-2,.8121E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2024-12-31T13:59:05.142624,14.87312040,.0065123,97.8344,306.7065,348.9371,11.0409,0,U,39440,999,59763,.15499E-2,.14506E-3,0
FUNCUBE-1 (AO-73),2013-066AE,2024-12-31T14:52:01.156512,14.98031380,.0042431,97.7440,322.8371,200.3011,159.6526,0,U,39444,999,59960,.1408E-2,.16918E-3,0
UWE-3,2013-066AG,2024-12-31T19:43:44.558400,14.90232085,.005433,97.8065,313.1254,289.3921,70.1429,0,U,39446,999,59809,.13607E-2,.13531E-3,0
UNISAT-6,2014-033C,2024-12-31T17:03:46.632960,14.83132651,.0050136,97.7192,161.7820,20.8517,339.4727,0,U,40012,999,56708,.11033E-2,.915E-4,0
DUCHIFAT-1,2014-033M,2024-12-31T10:02:07.765152,15.18350900,.0011499,98.0991,2.0657,138.7454,221.4649,0,U,40021,999,57393,.16974E-2,.34985E-3,0
QB50P1,2014-033R,2024-12-31T12:57:59.476608,15.05906920,.0009878,98.0667,334.9370,232.4669,127.5660,0,U,40025,999,57251,.13736E-2,.19968E-3,0
XW-2C,2015-049H,2024-12-30T23:36:50.544576,15.76497982,.000191,97.4502,31.4021,336.0650,24.0526,0,U,40906,999,51505,.13553E-2,.219446E-2,0
LILACSAT-2,2015-049K,2025-01-01T02:14:46.270176,15.33304033,.0011371,97.5172,18.1207,21.0717,339.0991,0,U,40908,999,51374,.74031E-3,.23838E-3,0
FOX-1A (AO-85),2015-058D,2025-01-01T01:54:13.544352,14.85715402,.0182443,64.7767,127.2080,244.7605,113.4498,0,U,40967,999,3435,.12524E-2,.14613E-3,0
CAS-2T & KS-1Q,2016-066G,2024-12-31T20:47:20.219136,14.42628708,.0348117,98.4403,76.6670,301.4380,55.3208,0,U,41847,999,42798,.53926E-3,.3684E-4,0
ZHUHAI-1 02 (CAS-4B),2017-034B,2024-12-31T22:06:02.521728,15.43021913,.0016558,43.0108,178.2206,259.9569,99.9420,0,U,42759,999,41778,.14129E-2,.64317E-3,0
ZHUHAI-1 01 (CAS-4A),2017-034D,2024-12-31T21:32:47.610528,15.43338831,.0017526,43.0145,176.4452,267.0719,92.8133,0,U,42761,999,41779,.14604E-2,.67275E-3,0
RADFXSAT (FOX-1B),2017-073E,2024-12-31T10:40:55.137504,15.00027893,.0189569,97.5474,235.4614,351.3192,8.4767,0,U,43017,999,38516,.12574E-2,.22917E-3,0
DIWATA-2B,2018-084H,2025-01-01T02:41:19.087872,14.96985841,.0009656,98.0873,171.4207,93.9238,266.3087,0,U,43678,999,33651,.41796E-3,.475E-4,0
ES'HAIL 2,2018-090A,2024-12-31T21:55:42.938688,1.00270398,.0002384,0.0181,28.8987,296.8898,129.7570,0,U,43700,999,2234,0,.165E-5,0
FOX-1CLIFF (AO-95),2018-099N,2024-12-31T14:39:47.572128,15.12334322,.0013121,97.5187,60.7822,51.2838,308.9564,0,U,43770,999,33233,.11884E-2,.20614E-3,0
ITASAT,2018-099AE,2024-12-31T21:56:47.616864,15.09365872,.0016338,97.4823,58.9532,40.6366,319.6079,0,U,43786,999,33234,.1047E-2,.16733E-3,0
JY1SAT (JO-97),2018-099AX,2024-12-31T09:51:36.161280,15.14885314,.000812,97.4932,61.3577,353.9136,6.1996,0,U,43803,999,33247,.1175E-2,.21867E-3,0
UWE-4,2018-111E,2024-12-31T11:43:29.680608,15.18329596,.00163,97.6005,271.7321,52.9018,307.3703,0,U,43880,999,32727,.14714E-2,.30335E-3,0
DUCHIFAT-3,2019-089C,2024-12-31T21:09:50.194944,15.30078326,.0012599,36.9504,277.8154,303.1274,56.8268,0,U,44854,999,27841,.18527E-2,.55699E-3,0
TIANYAN 01,2019-093C,2025-01-01T04:02:08.427840,14.84923045,.0014877,97.8111,80.0927,39.2118,321.0171,0,U,44881,999,27241,.44644E-3,.3755E-4,0
RS-44 & BREEZE-KM R/B,2019-096E,2024-12-31T16:11:23.757792,12.79737481,.0216674,82.5227,333.5412,309.7032,48.5140,0,U,44909,999,23423,.60283E-4,.24E-6,0
SALSAT,2020-068K,2024-12-31T14:34:19.057728,15.18649024,.0012824,97.8422,331.9139,5.2027,354.9337,0,U,46495,999,23421,.83756E-3,.17341E-3,0
LEDSAT,2021-073D,2024-12-31T16:14:15.566784,15.39837446,.0013308,97.4135,78.0819,302.7865,57.2098,0,U,49069,999,18667,.14512E-2,.58039E-3,0
XW-3 (CAS-9),2021-131B,2025-01-01T03:44:25.302624,14.40406077,.0003225,98.5192,91.3098,247.7520,112.3326,0,U,50466,999,15849,.75838E-3,.2365E-4,0
GREENCUBE,2022-080B,2024-12-22T10:50:05.589312,6.42557665,.0008284,70.1377,127.1156,64.6124,295.5392,0,U,53106,999,5736,0,-.3E-7,0
CAS-5A (FO-118),2022-167C,2025-01-01T03:48:53.710272,15.62584008,.0003899,97.6126,160.6295,174.4848,185.6453,0,U,54684,999,11481,.24133E-2,.220702E-2,0
STRATOSAT-TK 1 (RS52S),2023-091B,2025-01-01T02:23:10.988736,15.25551567,.0012264,97.5819,60.9773,148.6354,211.5617,0,U,57167,999,8358,.21376E-2,.54612E-3,0
UMKA 1 (RS40S),2023-091G,2025-01-01T02:47:02.939136,15.12155376,.0015838,97.5842,57.4526,159.4191,200.7681,0,U,57172,999,8335,.89893E-3,.15502E-3,0
CUBESX-HSE 3 (RS42S),2023-091N,2025-01-01T02:31:07.512384,15.15617682,.0015719,97.5875,58.6461,151.8986,208.3098,0,U,57178,999,8341,.13688E-2,.2609E-3,0
MONITOR-3 (RS58S),2023-091Q,2025-01-01T02:52:25.258656,15.14571772,.001616,97.5868,58.2741,152.8948,207.3131,0,U,57180,999,8339,.12386E-2,.22908E-3,0
