OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FOX-1A (AO-85),2015-058D,2025-01-01T01:54:13.544352,14.85715402,.0182443,64.7767,127.2080,244.7605,113.4498,0,U,40967,999,3435,.12524E-2,.14613E-3,0
SINOD-D 1,2015-058E,2024-12-31T14:13:55.047936,14.88735088,.0174513,64.7772,119.1796,243.9381,114.3677,0,U,40968,999,3715,.15037E-2,.18637E-3,0
SNAP-3 ALICE,2015-058G,2024-12-31T10:15:12.405024,15.09143321,.0128072,64.7677,62.0400,243.1674,115.6305,0,U,40970,999,3540,.23826E-2,.46161E-3,0
LMRST-SAT,2015-058H,2024-12-31T14:14:15.512640,14.85590153,.0184101,64.7768,124.2939,246.2906,111.8794,0,U,40971,999,3428,.11096E-2,.1295E-3,0
SNAP-3 EDDIE,2015-058J,2024-12-31T20:21:05.402880,15.09589924,.0127981,64.7647,53.6530,244.0476,114.7414,0,U,40972,999,3757,.28083E-2,.55219E-3,0
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.88021740,.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,.13049E-2,.16103E-3,0
BISONSAT,2015-058L,2024-12-31T14:15:10.818144,14.99650723,.0150932,64.7666,75.6226,245.9811,112.5446,0,U,40974,999,3527,.20057E-2,.31514E-3,0
SNAP-3 JIMI,2015-058M,2024-12-31T20:41:52.176480,14.92817304,.0167748,64.7690,93.5714,246.9146,111.4209,0,U,40975,999,3447,.17478E-2,.23812E-3,0
PROPCUBE 1 (FLORA),2015-058N,2024-12-31T16:21:47.276352,14.84288629,.0183224,64.7751,140.5899,247.6434,110.5169,0,U,40976,999,3707,.11653E-2,.13088E-3,0
SINOD-D 3,2015-058P,2024-12-31T14:50:37.379616,14.87285044,.0175272,64.7738,131.7838,246.9444,111.3104,0,U,40977,999,3534,.13991E-2,.16678E-3,0
HORYU-4,2016-012D,2024-12-31T15:57:39.132864,15.26864332,.0007399,30.9996,119.4552,187.7533,172.2996,0,U,41340,999,48824,.13485E-2,.36887E-3,0
RAVAN,2016-067B,2024-12-30T18:22:53.235552,15.22862699,.001159,98.0550,196.1972,76.6148,283.6378,0,U,41849,999,44580,.1544E-2,.36295E-3,0
CELTEE 1,2016-067C,2024-12-31T11:15:10.635840,15.11349063,.0000112,98.1045,186.9517,181.9697,178.1531,0,U,41850,999,44517,.84874E-3,.14259E-3,0
OPTICUBE 04,2016-067D,2025-01-01T01:51:17.211456,15.05518209,.0018513,98.0854,180.9074,110.6144,249.7068,0,U,41851,999,44498,.59335E-3,.8506E-4,0
AEROCUBE 8D,2016-067E,2024-12-31T23:18:03.563712,15.13563753,.0004699,98.1099,187.8853,147.5362,212.6157,0,U,41852,999,44525,.10781E-2,.19303E-3,0
AEROCUBE 8C,2016-067F,2024-12-31T23:39:16.751520,15.13605960,.0007736,98.0924,186.0144,88.2242,271.9874,0,U,41853,999,44524,.11153E-2,.20007E-3,0
PROMETHEUS 2-1,2016-067G,2025-01-01T00:24:11.695392,15.31633024,.0009739,98.0906,197.7067,89.4729,270.7626,0,U,41854,999,44585,.20683E-2,.63644E-3,0
PROMETHEUS 2-3,2016-067H,2024-12-31T19:48:39.202272,15.31528932,.0008182,98.0849,196.7966,99.6205,260.5959,0,U,41855,999,44582,.20593E-2,.63132E-3,0
CORVUS BC2,2017-042X,2024-12-31T10:07:35.731776,15.00873902,.0013425,97.3662,180.9862,110.3745,249.8924,0,U,42846,999,40699,.7389E-3,.9369E-4,0
CORVUS BC1,2017-042Y,2024-12-31T18:19:03.713952,15.01029535,.0013072,97.3674,181.7302,84.7975,275.4742,0,U,42847,999,40706,.76257E-3,.971E-4,0
MIRATA,2017-073C,2024-12-31T22:38:49.083360,15.26297049,.0123747,97.5652,251.3403,297.6152,61.2565,0,U,43015,999,38628,.24925E-2,.81516E-3,0
MAKERSAT 0,2017-073D,2025-01-01T03:08:34.799712,15.08009229,.0166325,97.5430,241.4206,330.3505,28.8371,0,U,43016,999,38563,.18803E-2,.40037E-3,0
SIRION PATHFINDER-2,2018-099B,2024-12-31T20:41:40.368192,15.07018640,.0009672,97.5032,57.7084,342.6747,17.4149,0,U,43759,999,33223,.86662E-3,.12949E-3,0
CORVUS BC4,2018-099K,2025-01-01T01:57:24.169536,15.05843220,.0010443,97.4856,54.4393,37.1114,323.0833,0,U,43767,999,33213,.87524E-3,.12672E-3,0
MOVE-II,2018-099Y,2024-12-31T20:22:44.581440,15.35518885,.0004675,97.4927,70.1175,14.1524,345.9850,0,U,43780,999,33303,.25418E-2,.886E-3,0
SPACEBEE-7,2018-099BL,2024-12-31T10:39:38.346048,15.23725504,.0007126,97.5222,68.9892,329.6493,30.4330,0,U,43816,999,33231,.16453E-2,.39658E-3,0
SPACEBEE-6,2018-099BN,2025-01-01T04:25:06.614112,15.86497495,.0007754,97.4973,82.2169,297.5781,62.4701,0,U,43818,999,33340,.42928E-2,.1206572E-1,0
SHIELDS 1,2018-104B,2024-12-31T18:36:49.996224,15.48903673,.0009781,85.0201,148.0045,45.8425,314.3634,0,U,43850,999,33662,.75666E-3,.41035E-3,0
SONATE,2019-038Q,2025-01-01T01:51:34.412832,15.52589744,.0013798,97.7116,12.4352,109.9736,250.3003,0,U,44400,999,30457,.12865E-2,.79927E-3,0
DUCHIFAT-3,2019-089C,2024-12-31T21:09:50.194944,15.30078326,.0012599,36.9504,277.8154,303.1274,56.8268,0,U,44854,999,27841,.18527E-2,.55699E-3,0
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,.73378E-3,.9096E-4,0
NETSAT-4,2020-068U,2024-12-31T20:33:19.238688,15.23283557,.0010504,97.8296,330.6897,48.3444,311.8689,0,U,46504,999,23417,.1259E-2,.29917E-3,0
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,.0010117,97.8283,329.7400,57.3725,302.8485,0,U,46505,999,23412,.11768E-2,.27264E-3,0
NETSAT-1,2020-068W,2024-12-31T08:31:32.784384,15.19202450,.0009476,97.8304,328.2272,68.4610,291.7633,0,U,46506,999,23399,.8692E-3,.18274E-3,0
NETSAT-2,2020-068X,2024-12-31T21:10:25.510944,15.23114876,.0008707,97.8284,330.2877,70.4644,289.7531,0,U,46507,999,23412,.11971E-2,.28282E-3,0
WILDTRACKCUBE-SIMBA,2021-022K,2025-01-01T03:03:50.437440,15.33297865,.0012377,97.4404,263.3477,154.2658,205.9202,0,U,47941,999,20866,.1446E-2,.46787E-3,0
GRBALPHA,2021-022AD,2025-01-01T03:21:35.540352,15.45697971,.0010713,97.4392,267.4165,132.5483,227.6672,0,U,47959,999,20775,.20857E-2,.101987E-2,0
BEESAT-8,2021-022AP,2024-12-30T17:18:46.450944,15.73466822,.0011434,97.4765,273.5903,103.2949,256.9590,0,U,48085,999,20823,.29596E-2,.432562E-2,0
LEDSAT,2021-073D,2024-12-31T16:14:15.566784,15.39837446,.0013308,97.4135,78.0819,302.7865,57.2098,0,U,49069,999,18667,.14512E-2,.58039E-3,0
ROBUSTA-1F (MTCUBE 2),2022-080E,2024-12-30T08:26:30.346368,6.42584036,.000838,70.1231,123.9128,45.3679,314.7663,0,U,53109,999,5776,0,-.3E-7,0
