OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 162,2018-047G,2024-12-31T13:30:58.623264,14.43290009,.0001971,86.4495,310.9441,79.5079,280.6344,0,U,43482,999,34830,.40058E-3,.1368E-4,0
IRIDIUM 160,2018-061A,2024-12-31T19:06:42.299424,14.34217436,.0002486,86.3942,279.2420,82.1639,277.9839,0,U,43569,999,33706,.33825E-3,.967E-5,0
IRIDIUM 166,2018-061B,2024-12-31T14:41:50.413056,14.34218072,.000189,86.3966,279.2769,90.9620,269.1792,0,U,43570,999,33706,.47626E-4,.153E-5,0
IRIDIUM 158,2018-061C,2024-12-31T15:36:38.321856,14.34218875,.0001853,86.3967,279.2706,79.4249,280.7156,0,U,43571,999,33703,.14311E-3,.421E-5,0
IRIDIUM 165,2018-061D,2024-12-31T11:11:46.453632,14.34217168,.0002146,86.3963,279.3836,84.3289,275.8152,0,U,43572,999,33703,-.30373E-4,-.65E-6,0
IRIDIUM 155,2018-061E,2024-12-31T15:18:21.218976,14.34226868,.0001765,86.3964,279.2076,86.6897,273.4501,0,U,43573,999,33702,.35899E-3,.1025E-4,0
IRIDIUM 154,2018-061F,2024-12-31T14:50:58.138944,14.34221268,.0002198,86.3969,279.3227,83.1999,276.9447,0,U,43574,999,33707,.34613E-3,.989E-5,0
IRIDIUM 163,2018-061G,2024-12-31T19:24:58.350816,14.34219521,.0001994,86.3964,279.1754,81.0444,279.0977,0,U,43575,999,33707,.14506E-3,.426E-5,0
IRIDIUM 156,2018-061H,2024-12-31T18:48:26.191008,14.34218975,.0001797,86.3964,279.1926,90.4304,269.7097,0,U,43576,999,33706,.2207E-3,.638E-5,0
IRIDIUM 164,2018-061J,2024-12-31T15:00:05.794848,14.34223543,.0002316,86.3966,279.2908,87.4448,272.7013,0,U,43577,999,33708,.41423E-3,.118E-4,0
